nPeriods = 5
DEL	HC	LL	UL	Q1	Q2	Q3	Q4	Q5	I0	X	Y
1	4	5	84	42	36	21	6	27	14	9	7
0	4	0	79	35	27	46	16	39	73	9	7
1	3	5	91	28	26	35	26	5	86	16	3
0	2	0	79	14	17	15	35	17	64	16	3
1	1	5	97	7	16	40	37	29	43	22	32
0	1	0	79	46	7	21	46	40	56	22	32
1	4	5	79	31	7	9	11	7	46	29	-39
0	3	0	86	24	43	34	13	19	55	29	-39
1	3	5	86	18	42	15	22	23	72	36	-42
0	2	0	86	48	33	40	32	34	51	36	-42
1	1	5	92	42	32	28	33	46	33	42	-13
0	4	0	86	35	23	9	43	13	44	42	-13
1	4	5	99	20	15	34	7	25	96	49	15
0	3	0	86	14	14	14	9	36	37	49	15
1	2	5	80	7	5	47	19	48	67	-45	12
0	1	0	86	38	49	28	28	15	31	-45	12
1	1	5	87	31	40	8	30	27	22	-38	41
0	4	0	93	24	40	41	39	30	80	-38	41
1	3	5	93	10	31	22	49	42	5	-32	-30
0	2	0	93	48	30	47	13	9	85	-32	-30
1	2	5	75	42	21	27	15	20	62	-25	-33
0	1	0	92	27	20	16	25	32	57	-25	-33
1	4	5	81	20	11	41	34	44	66	-19	-5
0	4	0	92	14	48	21	36	11	91	-19	-5
end-of-file
